         419927 function calls (406503 primitive calls) in 5.220 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    325/3    2.468    0.008    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
     5270    0.651    0.000    0.652    0.000 {built-in method builtins.sum}
      290    0.233    0.001    0.439    0.002 /Users/guiguiclaudon/Documents/GitHub/Genetic-Programming/Modules/evolve.py:13(fuse)
      580    0.136    0.000    0.141    0.000 /Users/guiguiclaudon/Documents/GitHub/Genetic-Programming/Modules/objects.py:64(copy)
      203    0.090    0.000    0.529    0.003 /Users/guiguiclaudon/Documents/GitHub/Genetic-Programming/Modules/evolve.py:79(mutate)
     5054    0.073    0.000    0.892    0.000 /Users/guiguiclaudon/Documents/GitHub/Genetic-Programming/Modules/genetic.py:31(fitness)
     6361    0.061    0.000    0.070    0.000 {built-in method builtins.print}
        2    0.060    0.030    0.115    0.057 {built-in method matplotlib.backends._macosx.show}
     2100    0.046    0.000    0.046    0.000 {built-in method numpy.array}
        2    0.043    0.022    0.043    0.022 {function FigureManagerMac.destroy at 0x114af72e0}
     1505    0.038    0.000    0.059    0.000 {built-in method builtins.all}
        2    0.033    0.017    0.066    0.033 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/backends/backend_macosx.py:148(__init__)
      420    0.033    0.000    0.231    0.001 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/bezier.py:283(axis_aligned_extrema)
      672    0.032    0.000    0.062    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/linalg/linalg.py:994(eigvals)
      672    0.032    0.000    0.130    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/lib/polynomial.py:172(roots)
    81/47    0.027    0.000   12.095    0.257 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/queue.py:154(get)
 6356/692    0.026    0.000    0.031    0.000 /Users/guiguiclaudon/Documents/GitHub/Genetic-Programming/Modules/objects.py:45(get_children)
